f	page	initiator	type	public/private	preciseLoc	comments	subject	recipient	present
982	228	M. de Clèves	"Quoted" conversation	Private	Chambord		M. de Clèves	Gentilhomme de M. de Clèves	No one else present
983	228	impersonal character	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Blois	On en donna avis íæ Madame de Clèves	M. de Clèves	Mme de Clèves	unspecified
984	228	Mme de Clèves	non-verbal exchange narrated by the narrator	Private	Blois	Elle vint en diligence; quand elle arriva, il etait encore plus mal	M. de Clèves	M. de Clèves	unspecified
985	228	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Blois chez Cleves	Nemours goes every day to Cleves home to try to see princesse but doesnt	M. de Clèves	M. de Clèves	unspecified
986	228	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Blois chez Cleves	Elle ne sortait point de la chambre de son mari	M. de Clèves	M. de Clèves	unspecified
987	229	Médecins	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Blois chez Cleves	M. de Clèves í©tait presque abandonní© des mí©decins	M. de Clèves	recipients unspecified	unspecified
988	229	Mme de Clèves	physical exchange	Private	Blois chez Cleves	Madame de Cleves demeura seule dans sa chambre	M. de Clèves	M. de Clèves	No one else present
989	229	M. de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves	Mme de Clèves	No one else present
990	230	M. de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, Nemours	Mme de Clèves	No one else present
991	230	M. de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, M. de Clèves	Mme de Clèves	No one else present
992	230	M. de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, Nemours	Mme de Clèves	No one else present
993	231	Mme de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, M. de Clèves	M. de Clèves	No one else present
994	231	M. de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, Nemours	Mme de Clèves	No one else present
995	231	Mme de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, Nemours	M. de Clèves	No one else present
996	231	M. de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves	Mme de Clèves	No one else present
997	231	Mme de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, M. de Clèves	M. de Clèves	No one else present
998	231	M. de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, Nemours, La Duchesse de Mercoeur	Mme de Clèves	No one else present
999	232	Mme de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, Nemours, les domestiques	M. de Clèves	No one else present
1000	232	Mme de Clèves	verbal exchange narrated by the narrator	Private	Blois chez Cleves		Mme de Clèves, Nemours	M. de Clèves	No one else present
1001	232	M. de Clèves	"Quoted" conversation	Private	Blois chez Cleves		Mme de Clèves, M. de Clèves	Mme de Clèves	No one else present
1002	232	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Blois chez Cleves		M. de Clèves	Médecins	unspecified
1003	232	La Dauphine	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Blois chez Cleves	La reine la vint voir avec soin et la mena dans un couvent, sans qu'elle síét oí_ on la conduisait.	Mme de Clèves	Mme de Clèves	unspecified
1004	232	Les belles-soeurs de la princesse	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Paris	Ses belles-soeurs la rameníÂrent íæ Paris	Mme de Clèves	Mme de Clèves	No one else present
1005	233	écuyer de Nemours	verbal exchange narrated by the narrator	Private	Location unspecified		M. de Clèves, Nemours, Gentilhomme de M. de Clèves	Nemours	No one else present
1006	233	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	On lui dit que personne de la voyait	Mme de Clèves	impersonal character	No one else present
1007	234	Mme de Martigues	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	Martigues fit un voyage íæ Paris et la vit avec soin pendant le sí©jour qu'elle y fit	Mme de Clèves	Mme de Clèves	No one else present
1008	234	Mme de Martigues	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris		M. de Guise, M. de Guise, Vidame, La cour	Mme de Clèves	No one else present
1009	234	Mme de Martigues	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris		Nemours	Mme de Clèves	No one else present
1010	235	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Paris	Elle alla proche de chez elle voir un homme qui faisait des ouvrages de soie	Mme de Clèves	Magasin de Soie	unspecified
1011	235	Magasin de Soie	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Nemours	Mme de Clèves	unspecified
1012	236	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Nemours	Nemours	les gens de la princesse
1013	236	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Mme de Clèves	Mme de Clèves	les gens de la princesse
1014	236	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris	Il se leva de sa place pour í©viter la compagnie qui venait vers lui	Nemours	Nemours	les gens de la princesse
1015	237	Mme de Clèves	non-verbal exchange narrated by the narrator	Private	Home of Clèves in Paris	She sees him from her window looking at her from window across the way	Nemours	Nemours	No one else present
1016	238	Nemours	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Home of Vidame	Mme de Clèves, Nemours	Vidame	No one else present
1017	238	Vidame	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez Vidame	Mme de Clèves, Nemours	Nemours	No one else present
1018	238	Nemours	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves	Vidame	No one else present
1019	239	Mme de Clèves	physical exchange	Private	Other private home of a character, not Clèves	Chez le Vidame	Vidame	Vidame	Duc de Nemours
1020	239	Mme de Clèves	non-verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	Nemours	Nemours	Vidame
1021	239	Vidame	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	non-specified	Mme de Clèves, Nemours	No one else present
1022	239	Mme de Clèves	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves	Mme de Clèves	Duc de Nemours
1023	239	Nemours	non-verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1024	239	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Vidame	Mme de Clèves	No one else present
1025	239	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Vidame	Nemours	No one else present
1026	239	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez Vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1027	240	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, Nemours	Nemours	No one else present
1028	240	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1029	240	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Nemours	No one else present
1030	240	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1031	240	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Nemours	No one else present
1032	240	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, M. de Clèves, Nemours	Mme de Clèves	No one else present
1033	241	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Le Vidame	Mme de Clèves, M. de Clèves, Nemours	Nemours	No one else present
1034	241	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, M. de Clèves, Nemours	Nemours	No one else present
1035	241	Nemours	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, M. de Clèves, Nemours	Mme de Clèves	No one else present
1036	241	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours, La Dauphine	Nemours	No one else present
1037	241	Nemours	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, Nemours, La Dauphine	Mme de Clèves	No one else present
1038	241	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Nemours	No one else present
1039	241	Nemours	physical exchange	Private	Other private home of a character, not Clèves	Chez le Vidame; en se jetant íæ ses genoux	Mme de Clèves	Mme de Clèves	No one else present
1040	241	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	M. de Clèves	Mme de Clèves	No one else present
1041	242	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Nemours	No one else present
1042	242	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1043	242	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Nemours	No one else present
1044	242	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1045	242	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Nemours	Nemours	No one else present
1046	242	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	M. de Clèves	Mme de Clèves	No one else present
1047	242	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	M. de Clèves, Nemours	Nemours	No one else present
1048	243	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, M. de Clèves	Mme de Clèves	No one else present
1049	243	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Nemours	No one else present
1050	243	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves	Mme de Clèves	No one else present
1051	244	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Nemours	Nemours	No one else present
1052	244	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves	Mme de Clèves	No one else present
1053	244	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, Nemours	Nemours	No one else present
1054	245	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1055	245	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours, La Dauphine, Madame de Thémines	Nemours	No one else present
1056	245	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours, les femmes de la cour	Nemours	No one else present
1057	246	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1058	246	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, M. de Clèves, Nemours	Nemours	No one else present
1059	246	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, M. de Clèves, Nemours	Nemours	No one else present
1060	246	Nemours	physical exchange	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves	Mme de Clèves	No one else present
1061	246	Nemours	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1062	247	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, M. de Clèves, Nemours	Nemours	No one else present
1063	247	Nemours	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, Nemours	Mme de Clèves	No one else present
1064	247	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Mme de Clèves, M. de Clèves, Nemours	Nemours	No one else present
1065	247	Mme de Clèves	"Quoted" conversation	Private	Other private home of a character, not Clèves	Chez le vidame	Vidame	Nemours	No one else present
1066	247	Vidame	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Other private home of a character, not Clèves	Le Vidame la remit dans son carrosse sans lui rien dire	Mme de Clèves	Mme de Clèves	unspecified
1067	247	Vidame	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Nemours	No one else present
1068	248	Nemours	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves	Vidame	No one else present
1069	248	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	M. de Nemours de dí©termina íæ suivre le Roi	Monsieur le Dauphin	Monsieur le Dauphin	La cour
1070	248	Nemours	verbal exchange narrated by the narrator	Private	Other private home of a character, not Clèves	Chez le Vidame	Mme de Clèves, Nemours	Vidame	No one else present
1071	249	Vidame	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris	Le Vidame la vint voir	Nemours	Mme de Clèves	No one else present
1072	249	Mme de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours	Vidame	No one else present
1073	249	Vidame	verbal exchange narrated by the narrator	Private	Location unspecified		Mme de Clèves	Nemours	No one else present
1074	249	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Ils [Nemours et le Vidame] partirent le lendemain rejoindre le Roi.	Monsieur le Dauphin	Vidame	La cour
1075	249	Vidame	exchange of objects	Private	Home of Clèves in Paris	Vidame í©crit íæ la princesse íæ la priíÂre de Nemours	Nemours	Mme de Clèves	Duc de Nemours
1076	249	Vidame	exchange of objects	Private	Home of Clèves in Paris	A second letter in which Nemours writes a section	Mme de Clèves, Nemours	Mme de Clèves	Duc de Nemours
1077	250	Mme de Clèves	exchange of objects	Private	Home of Clèves in Paris	La princesse write to the Vidame	Nemours	Vidame	Duc de Nemours
1078	250	Nemours	verbal exchange narrated by the narrator	Private	Court		Mme de Clèves	Vidame	No one else present
1079	250	La cour	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Abroad	En Poitou: La cour alla conduire la Reine d'Espagne jusqu'en Poitou.	Elisabeth (fille de France)	Elisabeth (fille de France) 	La cour
1080	250	Mme de Clèves	exchange of objects	Private	Home of Clèves in Paris	Elle í©crit une lettre au Vidame pour le conjurer que l'on ne songeat point íæ avoir de ses nouvelles, ni íæ lui í©crire	Mme de Clèves	Vidame	Duc de Nemours
1081	251	Mme de Clèves	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	Court	La nouvelle de la maladie de la princesse arrive íæ la cour	Mme de Clèves	La cour	Duc de Nemours
1082	251	Vidame	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Nemours	Nemours	La cour
1083	251	Vidame	exchange of objects	Private	les pyrénées	Vidame sends Princesse letters to find out about her health	Mme de Clèves	Mme de Clèves	unspecified
1084	252	impersonal character	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	Court	A la premiere nouvelle que recut Nemours	Mme de Clèves	Nemours	La cour
1085	252	Nemours	verbal exchange narrated by the narrator	Private	Court	Il fit í©crire la reine	Mme de Clèves	La Dauphine	Mme de Clèves
1086	252	Nemours	verbal exchange narrated by the narrator	Private	Court	Il fit í©crire le Vidame	Mme de Clèves	Vidame	Mme de Clèves
1087	252	Nemours	verbal exchange narrated by the narrator	Private	Court	Il l'y fit aller	Mme de Clèves	Vidame	Mme de Clèves
1088	252	Vidame	non-verbal exchange narrated by the narrator	Private	Princess' retreat	Le Vidame la vit	Mme de Clèves	Mme de Clèves	No one else present
1089	252	Mme de Clèves	verbal exchange narrated by the narrator	Private	Princess' retreat		Mme de Clèves	Vidame	No one else present
1090	252	impersonal character	verbal exchange narrated by the narrator	Private	Princess' retreat	Elle fut surprise d'apprendre sa venue	Nemours	Mme de Clèves	Duc de Nemours
1091	252	amie mystérieuse de la princesse	verbal exchange narrated by the narrator	Private	Princess' retreat		Mme de Clèves	Nemours	Mme de Clèves
1092	252	Nemours	verbal exchange narrated by the narrator	Private	Princess' retreat		Mme de Clèves	amie mystérieuse de la princesse	No one else present
1093	253	amie mystérieuse de la princesse	verbal exchange narrated by the narrator	Private	Princess' retreat		Mme de Clèves	Nemours	No one else present
